Subject	Object	IRI	DiseaseLocation	Direct	Inherited
EFO:0000399	developmental stage	http://www.ebi.ac.uk/efo/EFO_0000399		6	98
EFO:0000409	disease free survival	http://www.ebi.ac.uk/efo/EFO_0000409		11	13
EFO:0000410	disease staging	http://www.ebi.ac.uk/efo/EFO_0000410		0	17
EFO:0000412	distant metastasis free survival	http://www.ebi.ac.uk/efo/EFO_0000412		0	0
EFO:0000413	dorsal apodeme specific anlage	http://www.ebi.ac.uk/efo/EFO_0000413		0	0
EFO:0000415	dorsal ectoderm anlage in statu nascendi	http://www.ebi.ac.uk/efo/EFO_0000415		0	0
EFO:0000416	dorsal ectoderm primordium	http://www.ebi.ac.uk/efo/EFO_0000416		0	0
EFO:0000423	dorsal prothoracic pharyngeal muscle	http://www.ebi.ac.uk/efo/EFO_0000423		0	0
EFO:0000428	dose	http://www.ebi.ac.uk/efo/EFO_0000428		0	0
EFO:0000433	duration	http://www.ebi.ac.uk/efo/EFO_0000433		27	0
EFO:0000434	ecotype	http://www.ebi.ac.uk/efo/EFO_0000434		0	0
EFO:0000435	ectoderm anlage in statu nascendi	http://www.ebi.ac.uk/efo/EFO_0000435		0	0
EFO:0000447	embryonic central nervous system	http://www.ebi.ac.uk/efo/EFO_0000447		0	0
EFO:0000448	embryonic corpus allatum	http://www.ebi.ac.uk/efo/EFO_0000448		0	0
EFO:0000449	embryonic corpus cardiacum	http://www.ebi.ac.uk/efo/EFO_0000449		0	0
EFO:0000450	embryonic cuprophilic cell	http://www.ebi.ac.uk/efo/EFO_0000450		0	0
EFO:0000469	environmental factor	http://www.ebi.ac.uk/efo/EFO_0000469		21	4
EFO:0000470	environmental stress treatment	http://www.ebi.ac.uk/efo/EFO_0000470		1	0
EFO:0000472	epigenetic factor	http://www.ebi.ac.uk/efo/EFO_0000472		9	17
EFO:0000473	epigenetic status	http://www.ebi.ac.uk/efo/EFO_0000473		22	0
EFO:0000480	event death	http://www.ebi.ac.uk/efo/EFO_0000480		5	0
EFO:0000482	event free survival time	http://www.ebi.ac.uk/efo/EFO_0000482		10	24
EFO:0000483	exercise	http://www.ebi.ac.uk/efo/EFO_0000483		19	0
EFO:0000487	exposure	http://www.ebi.ac.uk/efo/EFO_0000487		8	0
EFO:0000488	external control ratio	http://www.ebi.ac.uk/efo/EFO_0000488		0	0
EFO:0000490	extraction protocol	http://www.ebi.ac.uk/efo/EFO_0000490		0	0
EFO:0000493	family history	http://www.ebi.ac.uk/efo/EFO_0000493		130	75
EFO:0000494	feature extraction	http://www.ebi.ac.uk/efo/EFO_0000494		0	0
EFO:0000506	gene knock out	http://www.ebi.ac.uk/efo/EFO_0000506		0	0
EFO:0000507	generation	http://www.ebi.ac.uk/efo/EFO_0000507		1	0
EFO:0000510	genetic modification	http://www.ebi.ac.uk/efo/EFO_0000510		0	90
EFO:0000511	genetic trait	http://www.ebi.ac.uk/efo/EFO_0000511		0	0
EFO:0000513	genotype	http://www.ebi.ac.uk/efo/EFO_0000513		4	0
EFO:0000523	growth condition	http://www.ebi.ac.uk/efo/EFO_0000523		1	11
EFO:0000524	head and neck disorder	http://www.ebi.ac.uk/efo/EFO_0000524	UBERON:0000033,UBERON:0000974	4	3
EFO:0000532	host	http://www.ebi.ac.uk/efo/EFO_0000532		0	0
EFO:0000534	hydrostatic pressure	http://www.ebi.ac.uk/efo/EFO_0000534		0	0
EFO:0000541	immunoprecipitate	http://www.ebi.ac.uk/efo/EFO_0000541		0	7
EFO:0000542	individual	http://www.ebi.ac.uk/efo/EFO_0000542		24	0
EFO:0000544	infection	http://www.ebi.ac.uk/efo/EFO_0000544		12	0
