Subject	Object	IRI
CHEBI:22868	bile salt	http://purl.obolibrary.org/obo/CHEBI_22868
CHEBI:22984	calcium atom	http://purl.obolibrary.org/obo/CHEBI_22984
CHEBI:22985	calcium molecular entity	http://purl.obolibrary.org/obo/CHEBI_22985
CHEBI:23004	carbamoyl group	http://purl.obolibrary.org/obo/CHEBI_23004
CHEBI:23014	carbon oxide	http://purl.obolibrary.org/obo/CHEBI_23014
CHEBI:23016	carbonates	http://purl.obolibrary.org/obo/CHEBI_23016
CHEBI:23019	carbonyl group	http://purl.obolibrary.org/obo/CHEBI_23019
CHEBI:23042	carotene	http://purl.obolibrary.org/obo/CHEBI_23042
CHEBI:23044	carotenoid	http://purl.obolibrary.org/obo/CHEBI_23044
CHEBI:23045	carotenol	http://purl.obolibrary.org/obo/CHEBI_23045
CHEBI:23079	cerebroside	http://purl.obolibrary.org/obo/CHEBI_23079
CHEBI:23213	choline ester	http://purl.obolibrary.org/obo/CHEBI_23213
CHEBI:23217	cholines	http://purl.obolibrary.org/obo/CHEBI_23217
CHEBI:23357	cofactor	http://purl.obolibrary.org/obo/CHEBI_23357
CHEBI:23367	molecular entity	http://purl.obolibrary.org/obo/CHEBI_23367
CHEBI:234420	(S)-noradrenaline(1+)	http://purl.obolibrary.org/obo/CHEBI_234420
CHEBI:23449	cyclic peptide	http://purl.obolibrary.org/obo/CHEBI_23449
CHEBI:23677	diazole	http://purl.obolibrary.org/obo/CHEBI_23677
CHEBI:237958	({[(2R,3S,4R,5R)-3,4-dihydroxy-5-(9H-purin-9-yl)oxolan-2-yl]methyl phosphonato}oxy)(phosphonatooxy)phosphinate	http://purl.obolibrary.org/obo/CHEBI_237958
CHEBI:23888	drug	http://purl.obolibrary.org/obo/CHEBI_23888
CHEBI:23906	monoatomic cation	http://purl.obolibrary.org/obo/CHEBI_23906
CHEBI:23924	enzyme inhibitor	http://purl.obolibrary.org/obo/CHEBI_23924
CHEBI:24261	glucocorticoid	http://purl.obolibrary.org/obo/CHEBI_24261
CHEBI:24271	glucosamines	http://purl.obolibrary.org/obo/CHEBI_24271
CHEBI:24318	glutamine family amino acid	http://purl.obolibrary.org/obo/CHEBI_24318
CHEBI:24319	EC 6.3.1.2 (glutamate--ammonia ligase) inhibitor	http://purl.obolibrary.org/obo/CHEBI_24319
CHEBI:24384	glycogens	http://purl.obolibrary.org/obo/CHEBI_24384
CHEBI:24402	glycosphingolipid	http://purl.obolibrary.org/obo/CHEBI_24402
CHEBI:24431	chemical entity	http://purl.obolibrary.org/obo/CHEBI_24431
CHEBI:24432	biological role	http://purl.obolibrary.org/obo/CHEBI_24432
CHEBI:24433	group	http://purl.obolibrary.org/obo/CHEBI_24433
CHEBI:24532	organic heterocyclic compound	http://purl.obolibrary.org/obo/CHEBI_24532
CHEBI:24533	heterodetic cyclic peptide	http://purl.obolibrary.org/obo/CHEBI_24533
CHEBI:24586	hexosamine	http://purl.obolibrary.org/obo/CHEBI_24586
CHEBI:24621	hormone	http://purl.obolibrary.org/obo/CHEBI_24621
CHEBI:24632	hydrocarbon	http://purl.obolibrary.org/obo/CHEBI_24632
CHEBI:24636	proton	http://purl.obolibrary.org/obo/CHEBI_24636
CHEBI:24651	hydroxides	http://purl.obolibrary.org/obo/CHEBI_24651
CHEBI:24663	hydroxy-5beta-cholanic acid	http://purl.obolibrary.org/obo/CHEBI_24663
CHEBI:24780	imidazoles	http://purl.obolibrary.org/obo/CHEBI_24780
CHEBI:24828	indoles	http://purl.obolibrary.org/obo/CHEBI_24828
CHEBI:24833	oxoacid	http://purl.obolibrary.org/obo/CHEBI_24833
CHEBI:24834	inorganic anion	http://purl.obolibrary.org/obo/CHEBI_24834
