Subject	Object
CHEBI:15891	2-Aminoethanesulfonic acid
CHEBI:15901	dihydropyrimidine-2,4(1H,3H)-dione
CHEBI:15901	DIHYDROPYRIMIDINE-2,4(1H,3H)-DIONE
CHEBI:15929	methyl {(1R,2R)-3-oxo-2-[(2Z)-pent-2-en-1-yl]cyclopentyl}acetate
CHEBI:15930	6-chloro-N-ethyl-N'-(propan-2-yl)-1,3,5-triazine-2,4-diamine
CHEBI:15940	pyridine-3-carboxylic acid
CHEBI:15940	nicotinic acid
CHEBI:15940	Nicotinic acid
CHEBI:15940	NICOTINIC ACID
CHEBI:15948	psi,psi-carotene
CHEBI:15956	5-[(3aS,4S,6aR)-2-oxohexahydro-1H-thieno[3,4-d]imidazol-4-yl]pentanoic acid
CHEBI:15963	meso-ribitol
CHEBI:15963	(2R,3s,4S)-pentane-1,2,3,4,5-pentol
CHEBI:15978	sn-glycerol 3-(dihydrogen phosphate)
CHEBI:15978	sn-Glycerol 3-phosphate
CHEBI:15978	(2R)-2,3-dihydroxypropyl dihydrogen phosphate
CHEBI:16000	2-aminoethanol
CHEBI:16010	5-oxopyrrolidine-2-carboxylic acid
CHEBI:16010	5-oxoproline
CHEBI:16010	5-Oxoproline
CHEBI:16010	5-OXOPROLINE
CHEBI:16020	1-methyladenosine
CHEBI:16020	1-Methyladenosine
CHEBI:16027	5'-adenylic acid
CHEBI:16027	5'-Adenylic acid
CHEBI:16038	phosphatidylethanolamines
CHEBI:16038	phosphatidyl(amino)ethanols
CHEBI:16040	4-aminopyrimidin-2(1H)-one
CHEBI:16113	cholest-5-en-3beta-ol
CHEBI:16113	Cholest-5-en-3beta-ol
CHEBI:16134	azane
CHEBI:16134	ammonia
CHEBI:16134	Ammonia
CHEBI:16134	AMMONIA
CHEBI:16150	benzoate
CHEBI:16169	(2,5-dihydroxyphenyl)acetate
CHEBI:16189	tetraoxosulfate(VI)
CHEBI:16189	tetraoxosulfate(2-)
CHEBI:16189	tetraoxidosulfate(2-)
CHEBI:16189	sulfate
CHEBI:16189	Sulfate
CHEBI:16196	Octadec-9-enoic acid
CHEBI:16196	(9Z)-octadec-9-enoic acid
CHEBI:16199	urea
CHEBI:16199	Urea
CHEBI:16199	UREA
CHEBI:16234	oxidanide
CHEBI:16234	hydroxide
CHEBI:16234	hydridooxygenate(1-)
CHEBI:16235	2-amino-1,9-dihydro-6H-purin-6-one
CHEBI:16236	ethanol
CHEBI:16236	Ethanol
CHEBI:16236	ETHANOL
CHEBI:16240	hydrogen peroxide
