Subject	Object
CHEBI:100246	cas:70458-96-7
CHEBI:100246	"Wikipedia:Norfloxacin ""Wikipedia"""
CHEBI:100246	SNOMEDCT:49485009
CHEBI:100246	SNOMEDCT:387271008
CHEBI:100246	"Patent:US4292317 ""Patent"""
CHEBI:100246	"Patent:US4146719 ""Patent"""
CHEBI:100246	"Patent:DE2840910 ""Patent"""
CHEBI:100246	"Patent:BE863429 ""Patent"""
CHEBI:100246	NCIt:C47638
CHEBI:100246	MESH:D009643
CHEBI:100246	"KEGG DRUG:D00210 ""KEGG DRUG"""
CHEBI:100246	"KEGG COMPOUND:C06687 ""KEGG COMPOUND"""
CHEBI:100246	"KEGG COMPOUND:70458-96-7 ""CAS Registry Number"""
CHEBI:100246	"Gmelin:1576626 ""Gmelin Registry Number"""
CHEBI:100246	"DrugBank:DB01059 ""DrugBank"""
CHEBI:100246	"CiteXplore:6461606 ""PubMed citation"""
CHEBI:100246	"CiteXplore:6454381 ""PubMed citation"""
CHEBI:100246	"CiteXplore:6234465 ""PubMed citation"""
CHEBI:100246	"CiteXplore:6224685 ""PubMed citation"""
CHEBI:100246	"CiteXplore:6211142 ""PubMed citation"""
CHEBI:100246	"CiteXplore:3908074 ""PubMed citation"""
CHEBI:100246	"CiteXplore:3317294 ""PubMed citation"""
CHEBI:100246	"ChemIDplus:70458-96-7 ""CAS Registry Number"""
CHEBI:100246	"ChEMBL:100246 ""ChEMBL COMPOUND"""
CHEBI:100246	"Beilstein:567897 ""Beilstein Registry Number"""
CHEBI:10033	wikipedia.en:Warfarin
CHEBI:10033	reaxys:1293536
CHEBI:10033	pubmed:37755126
CHEBI:10033	pubmed:37648560
CHEBI:10033	pubmed:37359384
CHEBI:10033	pubmed:26238769
CHEBI:10033	pubmed:26203765
CHEBI:10033	pubmed:26142525
CHEBI:10033	pubmed:26142522
CHEBI:10033	pubmed:26114209
CHEBI:10033	pubmed:25986145
CHEBI:10033	pubmed:25845131
CHEBI:10033	pubmed:25842804
CHEBI:10033	pubmed:25830869
CHEBI:10033	pubmed:25828628
CHEBI:10033	pubmed:25823787
CHEBI:10033	pubmed:25757926
CHEBI:10033	pubmed:25683623
CHEBI:10033	pubmed:25555316
CHEBI:10033	pubmed:25537751
CHEBI:10033	pubmed:25534862
CHEBI:10033	pubmed:25466603
CHEBI:10033	pubmed:25393417
CHEBI:10033	pubmed:25023204
CHEBI:10033	pubmed:25022924
CHEBI:10033	pubmed:24973057
CHEBI:10033	pubmed:24478171
CHEBI:10033	pubmed:19294412
CHEBI:10033	pubmed:18294321
CHEBI:10033	pubmed:15578879
CHEBI:10033	pubmed:13358873
CHEBI:10033	ppdb:681
CHEBI:10033	pmc:PMC10207235
CHEBI:10033	pesticides:warfarin
CHEBI:10033	patent:US3239529
CHEBI:10033	patent:US2777859
CHEBI:10033	patent:US2765321
CHEBI:10033	patent:US2427578
CHEBI:10033	lincs.smallmolecule:LSM-1405
CHEBI:10033	kegg.drug:D08682
CHEBI:10033	kegg.compound:C01541
CHEBI:10033	hmdb:HMDB0001935
CHEBI:10033	foodb.food:FDB022750
CHEBI:10033	drugbank:DB00682
CHEBI:10033	cas:81-81-2
CHEBI:10033	SNOMEDCT:48603004
CHEBI:10033	SNOMEDCT:372756006
CHEBI:10033	NCIt:C945
CHEBI:10033	MESH:D014859
CHEBI:10033	Beilstein:1293536
CHEBI:10072	wikipedia.en:Xanthurenic_acid
CHEBI:10072	reaxys:185954
CHEBI:10072	pubmed:8598102
CHEBI:10072	pubmed:4886323
CHEBI:10072	pubmed:4614128
CHEBI:10072	pubmed:23303071
CHEBI:10072	pubmed:23139790
CHEBI:10072	pubmed:22770225
CHEBI:10072	pubmed:22701629
CHEBI:10072	pubmed:22491023
CHEBI:10072	pubmed:22036934
CHEBI:10072	pubmed:21188174
CHEBI:10072	pubmed:20617247
CHEBI:10072	pubmed:11045716
CHEBI:10072	metacyc.compound:XANTHURENATE
CHEBI:10072	hmdb:HMDB0000881
CHEBI:10072	cas:59-00-7
CHEBI:10112	wikipedia.en:Zileuton
CHEBI:10112	reaxys:4869674
CHEBI:10112	pubmed:20436887
CHEBI:10112	pubmed:20204486
CHEBI:10112	pubmed:19645854
CHEBI:10112	pubmed:19309543
CHEBI:10112	lincs.smallmolecule:LSM-5084
CHEBI:10112	kegg.drug:D00414
CHEBI:10112	drugcentral:2862
CHEBI:10112	drugbank:DB00744
CHEBI:10112	cas:111406-87-2
CHEBI:10127	wikipedia.en:Zonisamide
CHEBI:10127	patent:US4172896
CHEBI:10127	patent:JP7877057
CHEBI:10127	lincs.smallmolecule:LSM-3062
CHEBI:10127	kegg.drug:D00538
CHEBI:10127	kegg.compound:C07504
CHEBI:10127	drugcentral:2872
CHEBI:10127	drugbank:DB00909
CHEBI:10127	cas:68291-97-4
CHEBI:10127	beilstein:1077076
CHEBI:101278	wikipedia.en:Diltiazem
CHEBI:101278	vsdb:1863
CHEBI:101278	reaxys:3573079
CHEBI:101278	pubmed:8369596
CHEBI:101278	pubmed:25122162
CHEBI:101278	pubmed:24261918
CHEBI:101278	pubmed:23687551
CHEBI:101278	pubmed:19167257
CHEBI:101278	pubmed:16651034
CHEBI:101278	pubmed:11937779
CHEBI:101278	patent:US4552695
CHEBI:101278	patent:US3562257
CHEBI:101278	patent:DE3415035
CHEBI:101278	patent:DE1805714
CHEBI:101278	lincs.smallmolecule:LSM-2523
CHEBI:101278	kegg.drug:D07845
CHEBI:101278	kegg.compound:C06958
CHEBI:101278	hmdb:HMDB0014487
CHEBI:101278	drugcentral:897
CHEBI:101278	drugbank:DB00343
CHEBI:101278	cas:42399-41-7
CHEBI:114785	wikipedia.en:Erlotinib
CHEBI:114785	reaxys:8798958
CHEBI:114785	pubmed:30158288
CHEBI:114785	pubmed:30150014
CHEBI:114785	pubmed:30071517
CHEBI:114785	pubmed:30039303
CHEBI:114785	pubmed:29687154
CHEBI:114785	pubmed:29579331
CHEBI:114785	pubmed:29448920
CHEBI:114785	pubmed:17983745
CHEBI:114785	pubmed:17889528
CHEBI:114785	pubmed:16480284
CHEBI:114785	pubmed:16014883
CHEBI:114785	pubmed:16014882
CHEBI:114785	pubmed:15711537
CHEBI:114785	pubmed:14684309
CHEBI:114785	pubmed:12270171
CHEBI:114785	pdb-ccd:AQ4
CHEBI:114785	patent:US2010094004
CHEBI:114785	lincs.smallmolecule:LSM-1097
CHEBI:114785	kegg.drug:D07907
CHEBI:114785	hmdb:HMDB0014671
CHEBI:114785	drugcentral:1045
