IRI	Direct	Inherited
http://purl.obolibrary.org/obo/AfPO_0000396	0	0
http://purl.obolibrary.org/obo/AfPO_0000397	0	0
http://purl.obolibrary.org/obo/AfPO_0000511	0	0
http://purl.obolibrary.org/obo/AfPO_0000513	0	0
http://purl.obolibrary.org/obo/AfPO_0000515	0	0
http://purl.obolibrary.org/obo/AfPO_0000103	0	0
http://purl.obolibrary.org/obo/AfPO_0000351	0	0
http://purl.obolibrary.org/obo/AfPO_0000095	0	0
http://purl.obolibrary.org/obo/AfPO_0000209	0	0
http://purl.obolibrary.org/obo/AfPO_0000372	0	0
http://purl.obolibrary.org/obo/AfPO_0000375	0	0
http://purl.obolibrary.org/obo/AfPO_0000376	0	0
http://purl.obolibrary.org/obo/AfPO_0000388	0	0
http://purl.obolibrary.org/obo/AfPO_0000391	0	0
http://purl.obolibrary.org/obo/AfPO_0000392	0	0
http://purl.obolibrary.org/obo/AfPO_0000500	0	0
http://purl.obolibrary.org/obo/AfPO_0000501	0	0
http://purl.obolibrary.org/obo/AfPO_0000502	0	0
http://purl.obolibrary.org/obo/GAZ_00000013	0	0
http://purl.obolibrary.org/obo/AfPO_0000462	0	0
http://purl.obolibrary.org/obo/AfPO_0000464	0	0
http://purl.obolibrary.org/obo/AfPO_0000466	0	0
http://purl.obolibrary.org/obo/AfPO_0000471	0	0
http://purl.obolibrary.org/obo/AfPO_0000136	0	0
http://purl.obolibrary.org/obo/AfPO_0000139	0	0
http://purl.obolibrary.org/obo/AfPO_0000147	0	0
http://purl.obolibrary.org/obo/AfPO_0000410	0	0
http://purl.obolibrary.org/obo/AfPO_0000522	0	0
http://purl.obolibrary.org/obo/AfPO_0000529	0	0
http://purl.obolibrary.org/obo/AfPO_0000534	0	0
http://purl.obolibrary.org/obo/AfPO_0000536	0	0
http://purl.obolibrary.org/obo/AfPO_0000064	0	0
http://purl.obolibrary.org/obo/AfPO_0000432	0	0
http://purl.obolibrary.org/obo/AfPO_0000528	0	0
http://purl.obolibrary.org/obo/AfPO_0000549	0	0
http://purl.obolibrary.org/obo/AfPO_0000550	0	0
http://purl.obolibrary.org/obo/AfPO_0000552	0	0
http://purl.obolibrary.org/obo/AfPO_0000553	0	0
http://purl.obolibrary.org/obo/AfPO_0000554	0	0
http://purl.obolibrary.org/obo/AfPO_0000555	0	0
http://purl.obolibrary.org/obo/AfPO_0000557	0	0
